,history_generator_loss,history_discriminator_loss
54,"tf.Tensor(1.0238799, shape=(), dtype=float32)","tf.Tensor(1.0917245, shape=(), dtype=float32)"
55,"tf.Tensor(0.8836219, shape=(), dtype=float32)","tf.Tensor(1.1727449, shape=(), dtype=float32)"
56,"tf.Tensor(0.85404897, shape=(), dtype=float32)","tf.Tensor(1.2983565, shape=(), dtype=float32)"
57,"tf.Tensor(0.8559656, shape=(), dtype=float32)","tf.Tensor(1.4089379, shape=(), dtype=float32)"
58,"tf.Tensor(0.89222723, shape=(), dtype=float32)","tf.Tensor(1.5693066, shape=(), dtype=float32)"
59,"tf.Tensor(0.81250995, shape=(), dtype=float32)","tf.Tensor(1.7374322, shape=(), dtype=float32)"
60,"tf.Tensor(0.66648895, shape=(), dtype=float32)","tf.Tensor(2.0149713, shape=(), dtype=float32)"
61,"tf.Tensor(0.55893373, shape=(), dtype=float32)","tf.Tensor(1.9693476, shape=(), dtype=float32)"
62,"tf.Tensor(0.58012486, shape=(), dtype=float32)","tf.Tensor(1.9928913, shape=(), dtype=float32)"
63,"tf.Tensor(0.66499794, shape=(), dtype=float32)","tf.Tensor(2.0265367, shape=(), dtype=float32)"
64,"tf.Tensor(0.7735441, shape=(), dtype=float32)","tf.Tensor(2.0933304, shape=(), dtype=float32)"
65,"tf.Tensor(0.9040805, shape=(), dtype=float32)","tf.Tensor(2.0263686, shape=(), dtype=float32)"
66,"tf.Tensor(0.93043554, shape=(), dtype=float32)","tf.Tensor(1.9929116, shape=(), dtype=float32)"
67,"tf.Tensor(0.9721403, shape=(), dtype=float32)","tf.Tensor(1.9530969, shape=(), dtype=float32)"
68,"tf.Tensor(0.8342711, shape=(), dtype=float32)","tf.Tensor(1.7959943, shape=(), dtype=float32)"
69,"tf.Tensor(0.86279416, shape=(), dtype=float32)","tf.Tensor(1.7260549, shape=(), dtype=float32)"
70,"tf.Tensor(0.9463654, shape=(), dtype=float32)","tf.Tensor(1.5281373, shape=(), dtype=float32)"
71,"tf.Tensor(1.1064045, shape=(), dtype=float32)","tf.Tensor(1.412508, shape=(), dtype=float32)"
72,"tf.Tensor(1.3761568, shape=(), dtype=float32)","tf.Tensor(1.3084155, shape=(), dtype=float32)"
73,"tf.Tensor(1.5141091, shape=(), dtype=float32)","tf.Tensor(1.1218151, shape=(), dtype=float32)"
74,"tf.Tensor(1.5752227, shape=(), dtype=float32)","tf.Tensor(1.110449, shape=(), dtype=float32)"
75,"tf.Tensor(1.5017557, shape=(), dtype=float32)","tf.Tensor(0.9827026, shape=(), dtype=float32)"
76,"tf.Tensor(1.4632373, shape=(), dtype=float32)","tf.Tensor(0.8862407, shape=(), dtype=float32)"
77,"tf.Tensor(1.3542851, shape=(), dtype=float32)","tf.Tensor(0.7977658, shape=(), dtype=float32)"
